<package, package, (1, 1)>
<identifier, com, (1, 9)>
<delimiter, ., (1, 12)>
<identifier, gitblit, (1, 13)>
<delimiter, ., (1, 20)>
<identifier, client, (1, 21)>
<delimiter, ;, (1, 27)>
<import, import, (3, 1)>
<identifier, java, (3, 8)>
<delimiter, ., (3, 12)>
<identifier, awt, (3, 13)>
<delimiter, ., (3, 16)>
<identifier, Color, (3, 17)>
<delimiter, ;, (3, 22)>
<import, import, (4, 1)>
<identifier, java, (4, 8)>
<delimiter, ., (4, 12)>
<identifier, awt, (4, 13)>
<delimiter, ., (4, 16)>
<identifier, Component, (4, 17)>
<delimiter, ;, (4, 26)>
<import, import, (5, 1)>
<identifier, java, (5, 8)>
<delimiter, ., (5, 12)>
<identifier, text, (5, 13)>
<delimiter, ., (5, 17)>
<identifier, SimpleDateFormat, (5, 18)>
<delimiter, ;, (5, 34)>
<import, import, (6, 1)>
<identifier, java, (6, 8)>
<delimiter, ., (6, 12)>
<identifier, util, (6, 13)>
<delimiter, ., (6, 17)>
<identifier, Date, (6, 18)>
<delimiter, ;, (6, 22)>
<import, import, (8, 1)>
<identifier, javax, (8, 8)>
<delimiter, ., (8, 13)>
<identifier, swing, (8, 14)>
<delimiter, ., (8, 19)>
<identifier, JTable, (8, 20)>
<delimiter, ;, (8, 26)>
<import, import, (9, 1)>
<identifier, javax, (9, 8)>
<delimiter, ., (9, 13)>
<identifier, swing, (9, 14)>
<delimiter, ., (9, 19)>
<identifier, SwingConstants, (9, 20)>
<delimiter, ;, (9, 34)>
<import, import, (10, 1)>
<identifier, javax, (10, 8)>
<delimiter, ., (10, 13)>
<identifier, swing, (10, 14)>
<delimiter, ., (10, 19)>
<identifier, table, (10, 20)>
<delimiter, ., (10, 25)>
<identifier, DefaultTableCellRenderer, (10, 26)>
<delimiter, ;, (10, 50)>
<public, public, (18, 1)>
<class, class, (18, 8)>
<identifier, DateCellRenderer, (18, 14)>
<extends, extends, (18, 31)>
<identifier, DefaultTableCellRenderer, (18, 39)>
<delimiter, {, (18, 64)>
<private, private, (20, 2)>
<static, static, (20, 10)>
<final, final, (20, 17)>
<long, long, (20, 23)>
<identifier, serialVersionUID, (20, 28)>
<option, =, (20, 45)>
<integer, 1L, (20, 47)>
<delimiter, ;, (20, 49)>
<private, private, (22, 2)>
<final, final, (22, 10)>
<identifier, String, (22, 16)>
<identifier, pattern, (22, 23)>
<delimiter, ;, (22, 30)>
<public, public, (24, 2)>
<identifier, DateCellRenderer, (24, 9)>
<delimiter, (, (24, 25)>
<identifier, String, (24, 26)>
<identifier, pattern, (24, 33)>
<delimiter, ,, (24, 40)>
<identifier, Color, (24, 42)>
<identifier, foreground, (24, 48)>
<delimiter, ), (24, 58)>
<delimiter, {, (24, 60)>
<this, this, (25, 3)>
<delimiter, ., (25, 7)>
<identifier, pattern, (25, 8)>
<option, =, (25, 16)>
<delimiter, (, (25, 18)>
<identifier, pattern, (25, 19)>
<binary option, ==, (25, 27)>
<identifier, null, (25, 30)>
<option, ?, (25, 35)>
<string, "yyyy-MM-dd HH:mm", (25, 37)>
<delimiter, :, (25, 56)>
<identifier, pattern, (25, 58)>
<delimiter, ), (25, 65)>
<delimiter, ;, (25, 66)>
<identifier, setForeground, (26, 3)>
<delimiter, (, (26, 16)>
<identifier, foreground, (26, 17)>
<delimiter, ), (26, 27)>
<delimiter, ;, (26, 28)>
<identifier, setHorizontalAlignment, (27, 3)>
<delimiter, (, (27, 25)>
<identifier, SwingConstants, (27, 26)>
<delimiter, ., (27, 40)>
<identifier, CENTER, (27, 41)>
<delimiter, ), (27, 47)>
<delimiter, ;, (27, 48)>
<delimiter, }, (28, 2)>
<note, @Override, (31, -8)>
<public, public, (31, 2)>
<identifier, Component, (31, 9)>
<identifier, getTableCellRendererComponent, (31, 19)>
<delimiter, (, (31, 48)>
<identifier, JTable, (31, 49)>
<identifier, table, (31, 56)>
<delimiter, ,, (31, 61)>
<identifier, Object, (31, 63)>
<identifier, value, (31, 70)>
<delimiter, ,, (31, 75)>
<boolean, boolean, (31, 77)>
<identifier, isSelected, (31, 85)>
<delimiter, ,, (31, 95)>
<boolean, boolean, (32, 4)>
<identifier, hasFocus, (32, 12)>
<delimiter, ,, (32, 20)>
<int, int, (32, 22)>
<identifier, row, (32, 26)>
<delimiter, ,, (32, 29)>
<int, int, (32, 31)>
<identifier, column, (32, 35)>
<delimiter, ), (32, 41)>
<delimiter, {, (32, 43)>
<super, super, (33, 3)>
<delimiter, ., (33, 8)>
<identifier, getTableCellRendererComponent, (33, 9)>
<delimiter, (, (33, 38)>
<identifier, table, (33, 39)>
<delimiter, ,, (33, 44)>
<identifier, value, (33, 46)>
<delimiter, ,, (33, 51)>
<identifier, isSelected, (33, 53)>
<delimiter, ,, (33, 63)>
<identifier, hasFocus, (33, 65)>
<delimiter, ,, (33, 73)>
<identifier, row, (33, 75)>
<delimiter, ,, (33, 78)>
<identifier, column, (33, 80)>
<delimiter, ), (33, 86)>
<delimiter, ;, (33, 87)>
<if, if, (34, 3)>
<delimiter, (, (34, 6)>
<identifier, value, (34, 7)>
<instanceof, instanceof, (34, 13)>
<identifier, Date, (34, 24)>
<delimiter, ), (34, 28)>
<delimiter, {, (34, 30)>
<identifier, Date, (35, 4)>
<identifier, date, (35, 9)>
<option, =, (35, 14)>
<delimiter, (, (35, 16)>
<identifier, Date, (35, 17)>
<delimiter, ), (35, 21)>
<identifier, value, (35, 23)>
<delimiter, ;, (35, 28)>
<identifier, String, (36, 4)>
<identifier, title, (36, 11)>
<delimiter, ;, (36, 16)>
<identifier, String, (37, 4)>
<identifier, dateString, (37, 11)>
<delimiter, ;, (37, 21)>
<if, if, (38, 4)>
<delimiter, (, (38, 7)>
<identifier, date, (38, 8)>
<delimiter, ., (38, 12)>
<identifier, getTime, (38, 13)>
<delimiter, (, (38, 20)>
<delimiter, ), (38, 21)>
<binary option, ==, (38, 23)>
<integer, 0, (38, 26)>
<delimiter, ), (38, 27)>
<delimiter, {, (38, 29)>
<identifier, title, (39, 5)>
<option, =, (39, 11)>
<string, "--", (39, 13)>
<delimiter, ;, (39, 17)>
<identifier, dateString, (40, 5)>
<option, =, (40, 16)>
<string, "never", (40, 18)>
<delimiter, ;, (40, 25)>
<delimiter, }, (41, 4)>
<else, else, (41, 6)>
<delimiter, {, (41, 11)>
<if, if, (42, 5)>
<delimiter, (, (42, 8)>
<identifier, date, (42, 9)>
<delimiter, ., (42, 13)>
<identifier, getTime, (42, 14)>
<delimiter, (, (42, 21)>
<delimiter, ), (42, 22)>
<option, -, (42, 24)>
<identifier, System, (42, 26)>
<delimiter, ., (42, 32)>
<identifier, currentTimeMillis, (42, 33)>
<delimiter, (, (42, 50)>
<delimiter, ), (42, 51)>
<option, >, (42, 53)>
<integer, 0, (42, 55)>
<delimiter, ), (42, 56)>
<delimiter, {, (42, 58)>
<identifier, title, (44, 6)>
<option, =, (44, 12)>
<identifier, Translation, (44, 14)>
<delimiter, ., (44, 25)>
<identifier, getTimeUtils, (44, 26)>
<delimiter, (, (44, 38)>
<delimiter, ), (44, 39)>
<delimiter, ., (44, 40)>
